curve	recall	precision	average_precision
Sig +	1.0	0.6764705882352942	0.9857871064467765
Sig +	1.0	0.696969696969697	0.9857871064467765
Sig +	1.0	0.71875	0.9857871064467765
Sig +	1.0	0.7419354838709677	0.9857871064467765
Sig +	1.0	0.7666666666666667	0.9857871064467765
Sig +	1.0	0.7931034482758621	0.9857871064467765
Sig +	0.9565217391304348	0.7857142857142857	0.9857871064467765
Sig +	0.9565217391304348	0.8148148148148148	0.9857871064467765
Sig +	0.9565217391304348	0.8461538461538461	0.9857871064467765
Sig +	0.9565217391304348	0.88	0.9857871064467765
Sig +	0.9130434782608695	0.875	0.9857871064467765
Sig +	0.9130434782608695	0.9130434782608695	0.9857871064467765
Sig +	0.9130434782608695	0.9545454545454546	0.9857871064467765
Sig +	0.9130434782608695	1.0	0.9857871064467765
Sig +	0.8695652173913043	1.0	0.9857871064467765
Sig +	0.8260869565217391	1.0	0.9857871064467765
Sig +	0.782608695652174	1.0	0.9857871064467765
Sig +	0.7391304347826086	1.0	0.9857871064467765
Sig +	0.6956521739130435	1.0	0.9857871064467765
Sig +	0.6521739130434783	1.0	0.9857871064467765
Sig +	0.6086956521739131	1.0	0.9857871064467765
Sig +	0.5652173913043478	1.0	0.9857871064467765
Sig +	0.5217391304347826	1.0	0.9857871064467765
Sig +	0.4782608695652174	1.0	0.9857871064467765
Sig +	0.43478260869565216	1.0	0.9857871064467765
Sig +	0.391304347826087	1.0	0.9857871064467765
Sig +	0.34782608695652173	1.0	0.9857871064467765
Sig +	0.30434782608695654	1.0	0.9857871064467765
Sig +	0.2608695652173913	1.0	0.9857871064467765
Sig +	0.21739130434782608	1.0	0.9857871064467765
Sig +	0.17391304347826086	1.0	0.9857871064467765
Sig +	0.13043478260869565	1.0	0.9857871064467765
Sig +	0.08695652173913043	1.0	0.9857871064467765
Sig +	0.043478260869565216	1.0	0.9857871064467765
Sig +	0.0	1.0	0.9857871064467765
micro	1.0	0.5	0.9782145660029467
micro	1.0	0.5068493150684932	0.9782145660029467
micro	1.0	0.5138888888888888	0.9782145660029467
micro	1.0	0.5211267605633803	0.9782145660029467
micro	1.0	0.5285714285714286	0.9782145660029467
micro	1.0	0.5362318840579711	0.9782145660029467
micro	1.0	0.5441176470588235	0.9782145660029467
micro	1.0	0.5522388059701493	0.9782145660029467
micro	1.0	0.5606060606060606	0.9782145660029467
micro	1.0	0.5692307692307692	0.9782145660029467
micro	1.0	0.578125	0.9782145660029467
micro	1.0	0.5873015873015873	0.9782145660029467
micro	1.0	0.5967741935483871	0.9782145660029467
micro	1.0	0.6065573770491803	0.9782145660029467
micro	1.0	0.6166666666666667	0.9782145660029467
micro	1.0	0.6271186440677966	0.9782145660029467
micro	1.0	0.6379310344827587	0.9782145660029467
micro	1.0	0.6491228070175439	0.9782145660029467
micro	1.0	0.6607142857142857	0.9782145660029467
micro	1.0	0.6727272727272727	0.9782145660029467
micro	1.0	0.6851851851851852	0.9782145660029467
micro	1.0	0.6981132075471698	0.9782145660029467
micro	1.0	0.7115384615384616	0.9782145660029467
micro	1.0	0.7254901960784313	0.9782145660029467
micro	1.0	0.74	0.9782145660029467
micro	1.0	0.7551020408163265	0.9782145660029467
micro	1.0	0.7708333333333334	0.9782145660029467
micro	1.0	0.7872340425531915	0.9782145660029467
micro	1.0	0.8043478260869565	0.9782145660029467
micro	0.972972972972973	0.8	0.9782145660029467
micro	0.972972972972973	0.8181818181818182	0.9782145660029467
micro	0.972972972972973	0.8372093023255814	0.9782145660029467
micro	0.972972972972973	0.8571428571428571	0.9782145660029467
micro	0.972972972972973	0.8780487804878049	0.9782145660029467
micro	0.9459459459459459	0.875	0.9782145660029467
micro	0.918918918918919	0.8717948717948718	0.9782145660029467
micro	0.8918918918918919	0.868421052631579	0.9782145660029467
micro	0.8918918918918919	0.8918918918918919	0.9782145660029467
micro	0.8648648648648649	0.8888888888888888	0.9782145660029467
micro	0.8648648648648649	0.9142857142857143	0.9782145660029467
micro	0.8648648648648649	0.9411764705882353	0.9782145660029467
micro	0.8648648648648649	0.9696969696969697	0.9782145660029467
micro	0.8378378378378378	0.96875	0.9782145660029467
micro	0.8108108108108109	0.967741935483871	0.9782145660029467
micro	0.7837837837837838	0.9666666666666667	0.9782145660029467
micro	0.7567567567567568	0.9655172413793104	0.9782145660029467
micro	0.7567567567567568	1.0	0.9782145660029467
micro	0.7297297297297297	1.0	0.9782145660029467
micro	0.7027027027027027	1.0	0.9782145660029467
micro	0.6756756756756757	1.0	0.9782145660029467
micro	0.6486486486486487	1.0	0.9782145660029467
micro	0.6216216216216216	1.0	0.9782145660029467
micro	0.5945945945945946	1.0	0.9782145660029467
micro	0.5675675675675675	1.0	0.9782145660029467
micro	0.5405405405405406	1.0	0.9782145660029467
micro	0.5135135135135135	1.0	0.9782145660029467
micro	0.4864864864864865	1.0	0.9782145660029467
micro	0.4594594594594595	1.0	0.9782145660029467
micro	0.43243243243243246	1.0	0.9782145660029467
micro	0.40540540540540543	1.0	0.9782145660029467
micro	0.3783783783783784	1.0	0.9782145660029467
micro	0.35135135135135137	1.0	0.9782145660029467
micro	0.32432432432432434	1.0	0.9782145660029467
micro	0.2972972972972973	1.0	0.9782145660029467
micro	0.2702702702702703	1.0	0.9782145660029467
micro	0.24324324324324326	1.0	0.9782145660029467
micro	0.21621621621621623	1.0	0.9782145660029467
micro	0.1891891891891892	1.0	0.9782145660029467
micro	0.16216216216216217	1.0	0.9782145660029467
micro	0.13513513513513514	1.0	0.9782145660029467
micro	0.10810810810810811	1.0	0.9782145660029467
micro	0.08108108108108109	1.0	0.9782145660029467
micro	0.05405405405405406	1.0	0.9782145660029467
micro	0.02702702702702703	1.0	0.9782145660029467
micro	0.0	1.0	0.9782145660029467
chance			0.6216216216216216
